37	7	LAYING	0.2501767	-0.020441152	-0.10136104	-0.5028143	0.393444278	0.907537823	0.09689040	2.506242e-02	-1.316539e-02	-0.0028264191	-0.133605695	0.1559200298	-0.10594424	-0.03588974	-0.067190179	-0.9363920238	-0.9363920238	-0.980127240	-0.915793635	-0.98300883	-0.95342425	-0.942193954	-0.95861164	-6.359130e-01	-0.0438292666	0.2371119873	-0.980393047	-0.972531649	-0.96952498	0.02071592	-4.513426e-02	0.094560585	-0.95368455	-0.95757021	-0.95690531	-0.139745225	-0.453725645	0.0144682871	-0.927976881	-0.1290910252	-0.968066259	0.2176052867	-0.9411307192	-0.2657844911	-0.97411791	0.1044229529	3.644771e-02	0.0199228239
38	7	SITTING	0.2846746	-0.014610976	-0.12246460	0.9691478	0.006088466	0.064963625	0.06685198	1.168634e-02	1.620041e-02	-0.0496379720	-0.033611965	0.0259476655	-0.09381556	-0.03964449	-0.045456627	-0.9184321071	-0.9184321071	-0.976559676	-0.897870535	-0.98166512	-0.97269713	-0.931490634	-0.90467534	-3.343122e-02	0.0147166712	-0.1017660836	-0.982037244	-0.969423613	-0.96850350	0.18013258	-8.150213e-02	-0.085752758	-0.94363176	-0.95667806	-0.94741993	-0.071630230	-0.308762329	-0.0187739587	-0.908956776	-0.0112330112	-0.970954184	0.1812297253	-0.9330819552	-0.1428308914	-0.97863499	0.0553638919	1.363660e-02	-0.0387514768
39	7	STANDING	0.2827235	-0.014574034	-0.09977783	0.9587287	-0.117607049	-0.051657372	0.07519151	6.947004e-03	-1.084203e-02	-0.0291582213	-0.077433644	0.0851045001	-0.09015397	-0.04127976	-0.054539002	-0.9427246592	-0.9427246592	-0.973381306	-0.943425565	-0.97737708	-0.97668183	-0.941883784	-0.93855052	-7.970473e-02	-0.1597300590	0.0009889401	-0.976323086	-0.967165093	-0.96822964	0.09877485	-1.884797e-01	-0.089160206	-0.93812164	-0.95754867	-0.95716506	-0.188057606	-0.298448698	-0.1881166280	-0.945611450	-0.0288451773	-0.967417888	0.2567594399	-0.9387049849	-0.1871816700	-0.97367117	0.0954707400	1.024690e-02	-0.0238336055
40	7	WALKING	0.2755930	-0.018653665	-0.11091223	0.9325665	-0.159097004	-0.160846924	0.09014626	1.843227e-02	-2.103986e-02	0.0022883521	-0.083711372	0.0641104602	-0.12365420	-0.04477660	-0.049571309	-0.0978090439	-0.0978090439	-0.192948900	-0.305959351	-0.30002278	-0.34304841	-0.064156420	0.03858323	-3.137274e-01	0.1604341290	0.1246301711	-0.383715798	-0.123192887	-0.10649037	-0.28458651	-2.870138e-01	-0.244831720	-0.31839510	-0.15196669	-0.36673362	0.111912537	0.273141323	0.0143564055	-0.151243650	0.1729978835	-0.038418730	-0.0127446365	-0.1929097655	0.3003157181	-0.15533986	0.0008803400	-2.361439e-02	-0.0053808422
41	7	WALKING_DOWNSTAIRS	0.2803071	-0.016633237	-0.09693831	0.9306236	-0.129871673	-0.154935539	0.09689262	-1.910611e-02	-1.603904e-02	-0.1054096130	-0.049717461	0.1168947690	-0.05972735	-0.03819043	-0.078946934	0.0198795286	0.0198795286	-0.170319619	-0.188740819	-0.39922996	0.04434283	-0.145302311	-0.13921622	-3.656505e-01	-0.0314736616	0.0824424244	-0.030522669	-0.316236510	-0.29649490	-0.33362729	-4.141963e-01	-0.382024152	-0.33930147	-0.21444307	-0.29960027	-0.219867702	0.200566271	0.0076371946	0.218911066	0.0038029811	0.067389886	-0.0373844402	-0.2550450574	0.2352009265	-0.28909668	0.0819463660	-3.861536e-02	-0.0307260213
42	7	WALKING_UPSTAIRS	0.2487069	-0.027563901	-0.14376969	0.8187466	-0.240950944	-0.403599710	0.07246499	-8.123871e-04	-7.451967e-05	-0.1387781080	-0.002471620	0.1392170715	-0.08566409	-0.04822191	-0.072451748	-0.1980744380	-0.1980744380	-0.458695232	-0.239099166	-0.66196977	-0.33619943	-0.381590523	-0.31746102	-4.326846e-01	-0.1350791768	-0.2737305214	-0.454647882	-0.537075670	-0.58176453	-0.39118255	-4.253138e-01	-0.627555474	-0.38388934	-0.56792027	-0.40815027	-0.329345937	-0.054117536	-0.3461055753	-0.378618762	-0.0892278153	-0.454783247	0.0458636459	-0.5339829459	-0.1652008966	-0.67332728	0.0473349273	1.757997e-02	0.0140026346
43	8	LAYING	0.2612543	-0.021228173	-0.10224537	-0.4059300	0.589922435	0.719831539	0.08783269	2.332992e-02	-1.692188e-02	0.0053536121	-0.089137414	0.1381883074	-0.10644501	-0.03897352	-0.069412315	-0.9353086339	-0.9353086339	-0.973147490	-0.924253349	-0.97843819	-0.95353856	-0.951816664	-0.94426951	-3.072484e-01	0.0053975436	0.1924357871	-0.973110596	-0.975877437	-0.96211114	0.16498430	6.672864e-03	0.120248740	-0.95790389	-0.95741116	-0.96746124	-0.105590904	-0.199880206	0.2135683822	-0.932279646	0.0484988464	-0.961792852	0.3508226013	-0.9445289506	-0.0620563752	-0.96840395	0.2193712461	-2.449043e-02	-0.0219448740
44	8	SITTING	0.2674915	-0.006725506	-0.10446105	0.8324539	0.240095117	0.263895186	0.07867138	-6.575163e-03	-1.068089e-02	-0.0547396987	-0.095508924	0.0716048810	-0.09231503	-0.04026738	-0.044573224	-0.9521397043	-0.9521397043	-0.986061512	-0.932682243	-0.99180743	-0.98114291	-0.944219718	-0.95943628	-1.641874e-01	0.1072783385	0.0600484578	-0.984977271	-0.980221105	-0.98299531	0.22782862	5.271570e-02	0.008837681	-0.98220031	-0.97658989	-0.96179868	0.116741557	-0.261139450	-0.0430176558	-0.947981783	0.1215430011	-0.980932292	0.3067875609	-0.9658067893	-0.1411262027	-0.98773060	0.1666387478	1.198963e-02	-0.0175702778
45	8	STANDING	0.2796210	-0.014811307	-0.10611500	0.9576699	-0.090460349	-0.097939202	0.07537390	8.149517e-03	3.221533e-03	-0.0219671978	-0.028011763	0.0636889070	-0.09775758	-0.04851907	-0.047848323	-0.9537628841	-0.9537628841	-0.984920798	-0.952848497	-0.98758059	-0.98821986	-0.950049100	-0.95036294	2.311557e-02	0.0771842726	0.1211814738	-0.989029239	-0.976177675	-0.97947719	0.26729623	-5.981956e-02	0.069283124	-0.96967744	-0.97259549	-0.97551228	-0.154243187	-0.197392513	0.0222011082	-0.953746071	0.1106468456	-0.979745872	0.3080606339	-0.9645642241	-0.1087803157	-0.98370923	0.1791736900	2.589490e-02	-0.0082046212
46	8	WALKING	0.2746863	-0.018662887	-0.10725209	0.9135863	-0.217102195	-0.186267837	0.07033935	-6.039475e-03	-6.737989e-04	0.0235088228	-0.095791791	0.0509657915	-0.13588643	-0.03148809	-0.052268397	0.0516786278	0.0516786278	-0.066832243	-0.003102438	-0.33912927	-0.24738901	0.316982393	-0.23863459	-3.808924e-01	0.0035616376	0.1119472054	-0.311198711	0.079683287	-0.36156326	-0.34589812	-4.192779e-01	-0.247485399	-0.10206305	-0.25972969	-0.13290220	-0.176032066	-0.102881608	-0.2188007538	-0.095217283	0.2040808879	-0.123834410	0.1761898763	-0.3012418486	0.0890005738	-0.47302623	0.2945900067	7.386153e-02	-0.0331417691
47	8	WALKING_DOWNSTAIRS	0.2834841	-0.021105867	-0.10759814	0.9140235	-0.187610243	-0.141817935	0.11893809	-3.801938e-02	-3.943562e-02	-0.1211896260	-0.050076017	0.1141438552	-0.03492835	-0.05349697	-0.086790330	0.1765993118	0.1765993118	0.262628490	0.099342974	-0.12618914	0.13659020	0.388412780	0.15958976	-2.007579e-01	0.0511555478	0.2230784896	0.214841403	0.220639688	0.05860969	-0.17099790	-3.376510e-01	-0.180391339	-0.13074045	0.11609088	0.02774981	-0.177172959	0.071679424	-0.0051304019	0.301626757	0.2291445696	0.331528460	0.1814225360	-0.0003627297	0.2676759829	-0.12517959	0.2428436187	-1.436806e-02	-0.1194653582
48	8	WALKING_UPSTAIRS	0.2588802	-0.028241514	-0.11512212	0.8603687	-0.291341492	-0.192306961	0.08138168	1.412059e-02	-6.745839e-02	0.1927044760	-0.204205356	-0.0724546026	-0.15544567	-0.02791958	-0.053409038	0.1210266292	0.1210266292	-0.141494613	0.166447991	-0.40066401	-0.16641107	0.263431400	-0.07294969	-2.901178e-01	-0.1002544059	-0.1918526564	-0.200277249	-0.025795259	-0.38665580	-0.11598956	-3.440299e-01	-0.368783012	-0.24026076	-0.11316214	0.16597419	-0.221044979	-0.184403755	-0.2962346665	-0.130264519	0.2070712896	-0.131850567	0.2745492590	-0.2296109526	-0.1281150033	-0.46327058	0.2516633182	7.672679e-02	-0.0979335781
49	9	LAYING	0.2591955	-0.020526822	-0.10754972	-0.5802528	-0.119154196	0.957873042	0.08807345	1.156173e-02	-7.053678e-03	-0.0136320361	-0.158902920	0.1012750107	-0.10384668	-0.02755226	-0.056949048	-0.9308684376	-0.9308684376	-0.963374549	-0.907125100	-0.96452482	-0.94686549	-0.934366598	-0.94591900	-4.459628e-01	-0.2153367527	0.1781072809	-0.964304065	-0.964082806	-0.95590922	-0.08503094	-2.270937e-01	-0.094374360	-0.93029792	-0.93457966	-0.95981501	-0.230699179	-0.321206958	-0.0551254137	-0.926604295	-0.0856090525	-0.954320586	0.1670029826	-0.9186053356	-0.2063435687	-0.95580625	-0.0162013787	9.910772e-04	-0.0218178513
50	9	SITTING	0.2483267	-0.027016777	-0.07537847	0.9163245	-0.041425823	0.085263099	0.07700501	9.817397e-03	-8.674673e-03	-0.0423288768	-0.041427118	0.0807919286	-0.09307081	-0.04666344	-0.052841490	-0.8933617176	-0.8933617176	-0.964383757	-0.903235537	-0.97336414	-0.95941359	-0.911683219	-0.89220134	-1.093838e-01	-0.1200933959	-0.1317488735	-0.965596240	-0.958007391	-0.95752698	0.02039799	-2.719009e-01	-0.267665735	-0.95031524	-0.93969301	-0.94031231	-0.128144115	-0.359739582	-0.1732421531	-0.897718197	-0.0806134439	-0.953050441	0.0974700203	-0.9344377378	-0.1959700516	-0.96831559	0.0315348663	2.130743e-02	-0.0319304736
51	9	STANDING	0.2823101	-0.020045495	-0.09527475	0.9613235	-0.010383816	0.009147692	0.07600321	1.306998e-02	-4.700786e-03	-0.0291831363	-0.060810158	0.0992409332	-0.09589770	-0.04191996	-0.057574313	-0.9451674824	-0.9451674824	-0.969524579	-0.921030223	-0.96982404	-0.97166269	-0.944849432	-0.94168687	-1.057117e-01	-0.0037872186	0.0001654241	-0.971313769	-0.962624299	-0.96712920	-0.02350415	-9.818940e-02	-0.128067958	-0.91697444	-0.95451430	-0.94151034	-0.222857824	-0.348959970	-0.1657612633	-0.946330172	0.0235738707	-0.963242884	0.2005376883	-0.9297690678	-0.1749535686	-0.96749163	0.0243650848	1.160172e-02	0.0048663167
52	9	WALKING	0.2785028	-0.018089197	-0.11082051	0.9518671	-0.031434174	-0.115856121	0.07043573	2.122559e-02	4.147627e-03	-0.0808360599	-0.062559871	0.1116297799	-0.08092041	-0.03562834	-0.063340662	-0.0980840496	-0.0980840496	-0.203733616	-0.294542267	-0.51025400	-0.29471116	-0.257677616	-0.25080626	-3.107276e-01	0.0213195015	0.0237831761	-0.314265401	-0.367706595	-0.39954125	-0.37829149	-3.890473e-01	-0.366570478	-0.38367612	-0.43690586	-0.24022251	-0.200624504	0.016481583	-0.1521037211	-0.318801023	0.1616729885	-0.316870716	0.1592399386	-0.5137974804	0.1274162411	-0.60258162	0.2432221818	-2.596579e-02	0.0623476590
53	9	WALKING_DOWNSTAIRS	0.2959234	-0.020399427	-0.09102788	0.9384178	-0.035230465	-0.082276175	0.13019304	-2.068660e-02	2.625689e-03	-0.0916383011	-0.071259884	0.1168044007	-0.09459120	-0.05976083	-0.067808060	0.1458863579	0.1458863579	-0.162376089	-0.168921401	-0.46902843	0.10312851	-0.183120455	-0.10370582	-4.406339e-01	0.0625058244	-0.0424266602	-0.064535434	-0.313643042	-0.29367779	-0.43402213	-2.320428e-01	-0.330318262	-0.32504289	-0.31251220	-0.25068659	-0.165224232	-0.003516971	-0.1151919925	0.222203941	-0.0498273899	0.007168779	-0.0824504600	-0.3475402267	0.0656782202	-0.46317205	0.1320210146	-1.122777e-01	-0.0921238957
54	9	WALKING_UPSTAIRS	0.2624365	-0.019510110	-0.12521900	0.9026478	-0.037794782	-0.266009867	0.06922662	1.266122e-03	7.660466e-03	-0.1639671900	-0.041258791	0.1456946259	-0.06846896	-0.03027975	-0.023632791	-0.2607275814	-0.2607275814	-0.440667540	-0.083323449	-0.67284056	-0.34273595	-0.405022798	-0.38471042	-3.412197e-01	-0.2470861515	-0.2152039928	-0.402044750	-0.608498592	-0.61512571	-0.42721109	-5.292760e-01	-0.547022216	-0.31394163	-0.49915920	-0.32769867	-0.284881769	-0.414946340	-0.5074908667	-0.372890349	-0.0019542749	-0.419533109	0.0257597456	-0.5314826939	-0.2599629578	-0.73415945	0.1360011501	1.291540e-01	0.0018840350
55	10	LAYING	0.2802306	-0.024294484	-0.11716864	-0.4530697	-0.139297681	-0.031121624	0.07381506	1.569900e-02	7.166896e-03	-0.0195559372	-0.077032566	0.1047204783	-0.10030825	-0.03887979	-0.059074491	-0.9567818197	-0.9567818197	-0.976234435	-0.937590999	-0.97083085	-0.96918421	-0.954341849	-0.96430085	-1.405202e-01	0.2005540884	0.3173288746	-0.979014669	-0.968039174	-0.97259221	0.04855721	4.259423e-02	0.146112722	-0.95379391	-0.95467003	-0.96975578	0.070757575	0.071312565	0.1576205055	-0.950848109	0.2603889463	-0.968561122	0.2128261878	-0.9376926426	0.2165354345	-0.96097682	0.2026247003	-2.387298e-02	-0.0121815291
56	10	SITTING	0.2706121	-0.015042682	-0.10425324	0.7918872	-0.041260775	0.202534573	0.07753725	8.978755e-03	-4.995664e-03	-0.0432432177	-0.067999360	0.0745958869	-0.09315550	-0.04112165	-0.048941192	-0.9607571996	-0.9607571996	-0.988054238	-0.944202044	-0.99370749	-0.98494314	-0.940450200	-0.97464465	-8.261407e-02	0.0279319738	0.2336440200	-0.989365014	-0.980962856	-0.98605677	0.19344922	-2.618593e-02	0.117530737	-0.98647736	-0.98617922	-0.96539547	0.214105021	0.067725229	-0.0844435960	-0.955281011	0.2215660813	-0.985900801	0.3247620928	-0.9744597326	0.0058133739	-0.99219153	0.3440085028	-7.538811e-04	0.0412403815
57	10	STANDING	0.2766503	-0.015541860	-0.10796408	0.9540088	-0.043159783	0.034698021	0.08097844	1.190076e-02	-4.858410e-03	-0.0281854326	-0.087682049	0.1032515607	-0.10475383	-0.03715930	-0.058416255	-0.9519889080	-0.9519889080	-0.965163818	-0.929787260	-0.97163766	-0.97009981	-0.923378745	-0.95527238	1.591236e-01	-0.0126234260	0.0776098481	-0.963565166	-0.942187760	-0.97224151	0.25330139	-1.870952e-01	0.005628739	-0.92400591	-0.96032380	-0.95091573	-0.281787223	-0.164082231	-0.0988874452	-0.940110167	0.0902454674	-0.951633690	0.1973195248	-0.9377867434	-0.2264925963	-0.96561408	0.0133897488	-1.379047e-02	0.0303705890
58	10	WALKING	0.2785741	-0.017022351	-0.10905751	0.9630921	-0.083827701	0.054927624	0.08579438	4.082488e-03	-1.629532e-02	0.0106894976	-0.081954078	0.0986695731	-0.12270956	-0.05192050	-0.061126293	-0.1274009121	-0.1274009121	-0.132624992	-0.156458730	-0.44036364	-0.11419000	0.053391191	-0.41218272	-2.633259e-01	0.2437974968	0.2589679664	-0.107941107	0.030905202	-0.46402051	-0.26013064	-1.484457e-01	0.055799091	-0.27791378	-0.34520903	-0.10853003	-0.093367142	-0.122109930	-0.1298003721	-0.093023742	0.1795998648	0.020518952	-0.0712853942	-0.4126169096	0.1291001068	-0.51506534	-0.0002340192	-1.984113e-02	-0.0428316086
59	10	WALKING_DOWNSTAIRS	0.2904016	-0.020005077	-0.11084860	0.9398074	-0.064616077	0.041871541	0.10095939	1.078249e-02	1.526172e-04	-0.1248395943	-0.106742539	0.0724433686	-0.06437640	-0.04893781	-0.072041311	0.2508437694	0.2508437694	0.050701023	-0.023846804	-0.40185431	0.21566527	0.009046604	-0.15772836	-3.216791e-01	0.0667192523	0.2570673144	0.181419131	-0.119504296	-0.24067904	-0.23677978	-2.977630e-01	0.018982166	-0.21435028	-0.27249571	0.03913668	-0.177215652	-0.005559587	-0.0448928718	0.220115703	0.1644288292	0.156978047	0.1252059535	-0.3123475103	0.0774362596	-0.48419648	0.1787731170	-3.334496e-02	-0.0341618390
60	10	WALKING_UPSTAIRS	0.2671219	-0.014385492	-0.11818042	0.9318610	-0.056567028	0.022752770	0.06488293	2.663143e-02	-5.133758e-02	0.0733447168	-0.095460022	0.0879664183	-0.15721254	-0.03723485	-0.036502174	-0.0266623295	-0.0266623295	-0.262038042	0.043857385	-0.52346297	-0.13941079	-0.039068822	-0.30120641	-3.003909e-01	-0.0035449233	-0.2899694190	-0.201214322	-0.206872839	-0.55323067	-0.23033751	-3.708548e-01	-0.328583308	-0.21852472	-0.23585899	-0.26276337	-0.235765047	-0.421428723	-0.1354786973	-0.166866722	0.0879049623	-0.153553147	0.1787349331	-0.2653716891	-0.1944472760	-0.60058300	0.1585910309	1.102937e-01	-0.0075300025
61	11	LAYING	0.2805930	-0.017659805	-0.10878658	-0.1348320	0.943017941	0.112620190	0.07666453	1.221939e-02	2.776905e-03	-0.0191743840	-0.041559990	0.1520190159	-0.10229750	-0.04123914	-0.066695749	-0.9806211802	-0.9806211802	-0.983330628	-0.952523752	-0.99064125	-0.98380137	-0.971403935	-0.97357681	-6.377098e-02	0.2519454722	0.2260358410	-0.984884874	-0.973882497	-0.97956484	0.17810455	3.449996e-03	0.030016945	-0.97618747	-0.98264027	-0.96143442	0.006108200	0.104942478	0.0963568934	-0.973994005	0.3360106606	-0.976940775	0.2957478955	-0.9670933565	0.0406004063	-0.98597884	0.2560349769	2.750338e-03	0.0014353872
62	11	SITTING	0.2765902	-0.014919562	-0.11284022	0.8719638	0.213716306	0.188531696	0.07617773	-2.138386e-04	8.334008e-03	-0.0399984916	-0.075528448	0.0761739419	-0.09484235	-0.03928130	-0.050539546	-0.9619707638	-0.9619707638	-0.979355635	-0.951884472	-0.98951903	-0.98148145	-0.934503183	-0.97285511	-5.034040e-02	0.0967747743	0.2434697864	-0.980831750	-0.967454618	-0.98112486	0.15332020	-8.050580e-02	0.075598263	-0.98510688	-0.98263664	-0.95445382	0.115678529	-0.102473211	-0.0459579466	-0.953066009	0.1986488373	-0.975315332	0.1922591079	-0.9697999511	-0.0398966602	-0.98725597	0.1593453668	-1.178601e-02	-0.0105682441
63	11	STANDING	0.2777156	-0.017199089	-0.10868663	0.9564645	-0.173082705	0.127198423	0.07600977	1.241310e-02	-7.459162e-04	-0.0293141521	-0.076546504	0.0810588216	-0.09951936	-0.03959921	-0.052473275	-0.9848538366	-0.9848538366	-0.989242377	-0.979978011	-0.99342818	-0.99380805	-0.968703073	-0.98766979	8.901024e-02	0.0557408976	0.2923902456	-0.992385451	-0.979287024	-0.98846079	0.31217184	-3.050941e-02	0.120740566	-0.97830172	-0.99402549	-0.98076297	-0.129935993	0.119201234	-0.0212967788	-0.982255414	0.2330782272	-0.988636595	0.3330989298	-0.9825765198	-0.0478486176	-0.99298102	0.2232974089	-2.316692e-03	-0.0139522135
64	11	WALKING	0.2718219	-0.016647583	-0.10609630	0.9464685	-0.212045870	0.134053215	0.08297093	1.276825e-02	-1.336483e-02	-0.0426928995	-0.070510497	0.0843744496	-0.09182042	-0.05141725	-0.034267745	-0.2883234720	-0.2883234720	-0.402333202	-0.421801674	-0.63073271	-0.39653373	-0.083047844	-0.61640291	-3.736079e-01	0.0128761034	0.0404557559	-0.453265269	-0.241801726	-0.69259387	-0.35341993	-4.278894e-01	-0.092391951	-0.51475331	-0.59310740	-0.39829334	-0.175946094	-0.297177113	-0.1840657883	-0.458514063	0.0935818049	-0.395116134	0.0844543080	-0.6102226288	-0.0748370694	-0.75191446	0.0563648369	6.193811e-02	-0.0436671079
65	11	WALKING_DOWNSTAIRS	0.2916056	-0.017809772	-0.11107015	0.9417464	-0.200321943	0.132371685	0.08971687	2.522742e-02	-2.252089e-02	-0.1250686991	-0.026277535	0.0575244574	-0.02209163	-0.05202730	-0.037304841	0.1262276573	0.1262276573	-0.198206140	-0.197883360	-0.59929476	0.03519372	0.024750813	-0.37762476	-4.002964e-01	-0.0561892265	0.0053144517	-0.120463005	-0.177479240	-0.53022553	-0.33884997	-4.559728e-01	-0.244414661	-0.31877701	-0.52825452	-0.27345911	-0.263295936	-0.255277888	-0.1504800424	0.090280758	0.0316725684	-0.097454997	0.0337475180	-0.4561701089	-0.1698844639	-0.66834053	-0.0094250735	-4.650725e-02	0.0251428884
66	11	WALKING_UPSTAIRS	0.2637759	-0.030315782	-0.10679722	0.8926262	-0.343576925	0.146633747	0.09685617	-1.326253e-02	-1.514639e-02	-0.0820909702	-0.056692881	0.0638054380	-0.06452454	-0.07198347	-0.046076150	-0.1325946238	-0.1325946238	-0.509587701	-0.255048337	-0.75731481	-0.35534890	-0.254645207	-0.55174208	-5.244794e-01	-0.1892321588	-0.4865498972	-0.495927372	-0.455317917	-0.76538791	-0.44699235	-4.616411e-01	-0.482497120	-0.47178278	-0.58116715	-0.67467188	-0.245040398	-0.635531917	-0.1833283778	-0.336061027	-0.1370893830	-0.475928502	0.0149014801	-0.5500996600	-0.3779961009	-0.79598611	0.0153270269	-1.685756e-02	-0.0632903682
67	12	LAYING	0.2601134	-0.017520392	-0.10816013	-0.3785921	0.803378835	0.275043198	0.08542954	7.744083e-03	-4.371484e-03	-0.0146546807	-0.083553735	0.1451918480	-0.09904023	-0.04106753	-0.067890900	-0.9482046755	-0.9482046755	-0.969843834	-0.930840594	-0.97106777	-0.95624849	-0.951265971	-0.95472480	-2.356072e-01	0.1913727006	0.1714740009	-0.968742759	-0.963223332	-0.96714970	0.08390708	-1.766175e-02	0.023950446	-0.95665389	-0.95256172	-0.94567324	0.010569758	-0.019986654	0.0419799361	-0.943867440	0.0818083853	-0.962448419	0.1570651169	-0.9454970225	0.0022061550	-0.96394961	0.0227004241	4.272298e-03	0.0232429679
68	12	SITTING	0.2750072	-0.015789299	-0.10630723	0.9262290	0.083050901	0.088564070	0.07712777	1.059905e-02	-2.045760e-03	-0.0424159183	-0.075198040	0.0728462158	-0.09410235	-0.03874775	-0.051563409	-0.9521766214	-0.9521766214	-0.974734490	-0.941907241	-0.98039234	-0.97966614	-0.942768017	-0.95462663	3.266997e-02	0.0024151626	-0.0226159354	-0.977109887	-0.964236191	-0.97555156	0.13812994	-9.873324e-02	-0.056830654	-0.96852899	-0.96372525	-0.95571818	-0.062508699	-0.194160297	-0.0808451003	-0.955944253	0.0048783579	-0.971715269	0.2551914930	-0.9585118667	-0.1119821914	-0.97848445	0.1612682302	1.563159e-02	-0.0246810833
69	12	STANDING	0.2774058	-0.016900254	-0.10552700	0.9573178	-0.218865356	-0.039538277	0.07446318	1.004800e-02	-7.881314e-03	-0.0300030427	-0.070008375	0.0742568190	-0.09763804	-0.04095208	-0.048286374	-0.9414599351	-0.9414599351	-0.968790683	-0.888101373	-0.96928997	-0.97646947	-0.932775678	-0.94717820	6.362376e-02	-0.0493281733	0.0798244568	-0.971971634	-0.953291780	-0.97112253	0.23067259	-1.749671e-01	0.011382060	-0.89029271	-0.94825186	-0.95260195	-0.241064350	-0.143868273	-0.1305389811	-0.945217803	0.0468988698	-0.960859010	0.1765986927	-0.9023567656	-0.2614965659	-0.96305979	0.0162815454	8.919918e-03	0.0123418554
70	12	WALKING	0.2771287	-0.015560928	-0.10316111	0.9668735	-0.155983450	-0.036084288	0.04576440	1.977669e-02	5.025870e-03	-0.1045136709	-0.034429108	0.0999739123	-0.06223893	-0.04985260	-0.046733815	-0.1022045504	-0.1022045504	-0.144064923	-0.355930365	-0.51749378	-0.05435764	-0.071302455	-0.42232530	-2.614260e-01	0.1491074887	0.1708029494	-0.081619795	-0.141374071	-0.49138617	-0.28110657	-2.234607e-01	-0.182007552	-0.40197593	-0.46788634	-0.31728248	0.020408840	-0.025458443	-0.0279041184	-0.153116003	0.2522677531	-0.029912425	0.0184494619	-0.4425037840	0.1460753667	-0.56117644	0.0777777588	4.498007e-02	0.0160849354
71	12	WALKING_DOWNSTAIRS	0.2815211	-0.018084267	-0.10955593	0.9498620	-0.178702175	-0.056105062	0.06215003	-1.192892e-02	4.852624e-03	-0.1125315644	-0.042733669	0.0895434978	-0.02646690	-0.06091772	-0.065323998	0.0183139430	0.0183139430	-0.107091020	-0.213351511	-0.44283108	0.02350493	0.150510001	-0.40212122	-3.322492e-01	0.0793321823	0.2348333126	-0.007014723	0.006394069	-0.45161432	-0.21278774	-3.866959e-01	-0.098562311	-0.17885617	-0.42063147	-0.21276736	-0.054812339	0.110212110	0.0410165250	0.148017269	0.0786150245	0.076996837	0.0415244209	-0.3449384200	0.1135404477	-0.45822749	0.0658769890	-2.655334e-02	0.0328773767
72	12	WALKING_UPSTAIRS	0.2729703	-0.026357490	-0.10733973	0.9383715	-0.259144203	-0.070250382	0.07286608	-6.894949e-03	9.066628e-03	-0.0931234102	-0.041131452	0.0898022758	-0.04556389	-0.03354066	-0.065316729	-0.2291839271	-0.2291839271	-0.432469301	-0.316561586	-0.67497213	-0.32144793	-0.168341520	-0.56084121	-4.202356e-01	-0.1052696539	-0.2172169872	-0.385843754	-0.333077591	-0.68792987	-0.33124754	-3.802499e-01	-0.323446377	-0.42636033	-0.60471132	-0.40608094	-0.158314161	-0.351127977	-0.2245418797	-0.290005419	-0.0011184370	-0.320884463	0.0842262705	-0.5940325152	-0.1070777964	-0.71433259	0.0978624348	5.233937e-02	0.0388568273
73	13	LAYING	0.2767164	-0.020440454	-0.10433186	-0.1568522	0.656400944	0.598884989	0.07677748	1.834419e-02	-9.883897e-03	-0.0097360997	-0.096625070	0.1178196148	-0.10183557	-0.04177440	-0.064877042	-0.9605177682	-0.9605177682	-0.985467854	-0.944303112	-0.98544626	-0.97471692	-0.965843757	-0.96629558	-2.629906e-01	0.0363424961	0.0764724259	-0.985199684	-0.980375137	-0.98099460	0.16989581	6.565370e-02	0.058418307	-0.96946349	-0.96868973	-0.96912688	-0.101926540	-0.042663103	0.1465093819	-0.959535494	0.0815111223	-0.980754386	0.3007506580	-0.9576816213	0.0502077340	-0.97815081	0.0544469964	-1.263426e-04	0.0032419144
74	13	SITTING	0.2743285	-0.005877329	-0.09724651	0.9255765	0.101769752	0.075777386	0.07528659	-1.123441e-03	-2.323972e-02	-0.0355124857	-0.090268740	0.0823432027	-0.09591985	-0.04103669	-0.046612160	-0.9576905637	-0.9576905637	-0.989497839	-0.951142644	-0.99260430	-0.99013548	-0.959673916	-0.95618306	-9.351473e-03	0.0253459477	0.1546520935	-0.992678213	-0.983914102	-0.98526120	0.26421426	-1.932843e-03	0.092110603	-0.98321820	-0.98245605	-0.96838442	0.100550895	-0.106178686	0.0136492165	-0.956901560	0.1505389366	-0.988348535	0.3606463629	-0.9732582778	0.0076754334	-0.99172374	0.1911022340	-3.138534e-02	0.0209112877
75	13	STANDING	0.2777584	-0.016789199	-0.11212414	0.9426953	-0.239943146	-0.052485661	0.07586310	7.620352e-03	-7.049793e-04	-0.0295492164	-0.075320524	0.0854712469	-0.09812000	-0.04128726	-0.053926078	-0.9715642432	-0.9715642432	-0.986800028	-0.957825372	-0.98363763	-0.98942597	-0.959427618	-0.97756730	3.280625e-02	-0.0303584248	0.0874273262	-0.988198277	-0.977752775	-0.98460856	0.23796469	-4.789600e-02	0.106886231	-0.95715411	-0.97291308	-0.97439438	-0.251063048	-0.170676015	-0.0652523064	-0.972393559	0.0936059843	-0.981977536	0.2987453823	-0.9574887995	-0.1165048358	-0.97719740	0.1759574740	1.442342e-02	-0.0235598901
